county_name,lat,lng,state,lng_rank,lat_rank,nyc,min_lng_rank,min_lat_rank,max_lng_rank,max_lat_rank,num_squares,county,ttl,pre_mult,mult,sqrt_mult,mid_lng_rank,mid_lat_rank,scaled_lng_rank,scaled_lat_rank,test_lat_rank,test_lng_rank,new_scaled_lat_rank,new_scaled_lng_rank,square_id,min_new_scaled_lat_rank,min_new_scaled_lng_rank,max_new_scaled_lat_rank,max_new_scaled_lng_rank,dummy,prop_scaled_lat_rank,prop_scaled_lng_rank,min_prop_scaled_lat_rank,min_prop_scaled_lng_rank,max_prop_scaled_lat_rank,max_prop_scaled_lng_rank
Greene,42.162278481,-74.0689873418,NY,58.0,30.0,False,54.0,29.0,60.0,35.0,31,Greene,1999,64.48387096774194,24.28613322161709,4.928096308070399,57.0,32.0,62.9280963080704,20.1438073838592,8944.39837762509,17292.50353007517,12817.794989814733,12539.32268050148,39,8941.934329471054,17290.039481921136,8946.862425779125,17294.967578229203,1,12817.794989814733,12539.32268050148,12815.330941660697,12536.858632347445,12820.259037968768,12541.786728655516
St Lawrence,44.2046835443,-74.98493670890001,NY,49.0,65.0,False,41.0,63.0,53.0,78.0,138,St Lawrence,3837,27.80434782608696,10.471767363071711,3.2360110264138022,47.0,70.5,55.472022052827604,47.20193935472409,19379.529818187693,14609.184016787649,11634.052481933135,12657.864341723269,40,19377.911812674487,14607.566011274443,19381.1478237009,14610.802022300855,1,11634.052481933135,12657.864341723269,11632.434476419929,12656.246336210063,11635.670487446341,12659.482347236475
Otsego,42.4540506329,-74.98493670890001,NY,49.0,35.0,False,45.0,33.0,52.0,42.0,51,Otsego,3129,61.352941176470594,23.106951871657753,4.8069690941026195,48.5,37.5,51.4034845470513,22.982577264743448,10435.131440562604,14609.184016787649,12645.066916721787,12529.535388452266,41,10432.727956015553,14606.780532240598,10437.534925109654,14611.5875013347,1,12645.066916721787,12529.535388452266,12642.663432174737,12527.131903905216,12647.470401268838,12531.938872999317
Dutchess,41.8121518987,-73.5601265823,NY,63.0,24.0,False,59.0,18.0,63.0,28.0,37,Dutchess,18951,512.1891891891893,192.90242190242188,13.88893163286586,61.0,23.0,90.77786326573171,37.888931632865855,7155.518702100072,18783.23659301269,12787.11525463689,12282.56231699298,42,7148.574236283639,18776.29212719626,7162.463167916505,18790.181058829123,1,12066.806505795063,13659.248828970007,12059.86203997863,13652.304363153575,12073.750971611495,13666.193294786439
Lewis,44.1463291139,-75.2902531646,NY,46.0,64.0,False,41.0,52.0,47.0,64.0,64,Lewis,491,7.671875,2.8894074675324672,1.6998257168111286,44.0,58.0,49.39965143362225,74.19895430086676,19081.383205600192,13714.74417902514,13106.621366803443,13423.573340008401,43,19080.533292741788,13713.894266166733,19082.233118458596,13715.594091883546,1,13106.621366803443,13423.573340008401,13105.771453945037,13422.723427149995,13107.47127966185,13424.423252866807
Sullivan,41.520379746799996,-74.4760759494,NY,54.0,19.0,False,48.0,18.0,54.0,27.0,48,Sullivan,3813,79.4375,29.91801948051948,5.469736692064754,51.0,22.5,70.40921007619427,-0.14407842222663805,5664.785639162557,16099.917079725163,13136.672526340852,12628.571667097254,44,5662.050770816525,16097.18221137913,5667.52050750859,16102.651948071196,1,13136.672526340852,12628.571667097254,13133.937657994818,12625.836798751221,13139.407394686885,12631.306535443287
Orleans,43.2710126582,-78.2416455696,NY,17.0,49.0,False,15.0,47.0,19.0,50.0,20,Orleans,833,41.65,15.686363636363636,3.9606014235673386,17.0,48.5,17.0,50.98030071178368,14609.184016787649,5068.492413987551,12414.006630226935,13591.798338557957,45,14607.203716075865,5066.512113275768,14611.164317499433,5070.472714699335,1,12414.006630226935,13591.798338557957,12412.02632951515,13589.818037846173,12415.98693093872,13593.778639269742
Fulton,43.0959493671,-74.2725316456,NY,56.0,46.0,False,52.0,45.0,57.0,49.0,23,Fulton,1406,61.1304347826087,23.023150762281194,4.7982445500704936,54.5,47.0,63.197366825105746,41.20175544992951,13714.74417902514,16696.210304900167,12676.295040756217,12255.132757129173,46,13712.345056750104,16693.811182625133,13717.143301300175,16698.6094271752,1,12184.488377537957,13692.783260125565,12182.089255262921,13690.38413785053,12186.887499812992,13695.1823824006
Livingston,42.8625316456,-77.63101265819999,NY,23.0,42.0,False,20.0,36.0,24.0,44.0,31,Livingston,2391,77.12903225806451,29.04859656472559,5.389674996205764,22.0,40.0,28.389674996205763,52.779349992411525,12522.157728675125,6857.37208951257,12432.697736792887,12198.815472648674,47,12519.462891177023,6854.677252014467,12524.852566173227,6860.066927010673,1,12432.697736792887,12198.815472648674,12430.002899294785,12196.120635150572,12435.392574290989,12201.510310146776
Genesee,43.0959493671,-78.34341772149999,NY,16.0,46.0,False,15.0,43.0,20.0,46.0,24,Genesee,1492,62.16666666666666,23.413419913419908,4.838741562991344,17.5,44.5,8.741887655512985,53.25811234448703,13714.74417902514,4770.345801400048,12011.078794134804,13177.10927423414,48,13712.324808243644,4767.926430618552,13717.163549806635,4772.765172181544,1,12011.078794134804,13177.10927423414,12008.659423353309,13174.689903452645,12013.4981649163,13179.528645015636
